Gender,Motor_licence,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Geodesic_distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 - 60,Income_0 - 500,Income_1000 - 1500,Income_1500 - 2000,Income_2000 και άνω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_15.00 - 18.00,Depart_time_18.00 - 21.00,Mode
1,0,0,0,5,16,4,4,2,2,4,5,2,1.2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,1,0,3,35,4,4,3,4,3,3,3,6.0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,8,26,3,5,5,5,5,5,5,6.808129513827671,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,1,0,4,23,5,5,5,2,3,5,5,12.131535223633872,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,3,27,5,3,4,3,3,3,3,10.3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,5,25,5,3,5,3,3,3,4,7.340255708841578,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,4,37,3,4,3,4,4,5,3,4.831163200755542,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,5,28,2,1,3,2,5,4,1,1.7173467276086436,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,2
0,0,1,0,5,34,4,3,3,1,1,3,3,5.28156419668505,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,1,5,21,3,3,3,3,4,5,3,1.1816439511168235,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,0,3,12,4,3,3,2,5,4,1,0.95,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,0,0,0,3,40,4,4,4,2,2,2,3,13.814557567299873,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,1,36,1,2,2,2,2,3,1,29.2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0,1,0,0,3,32,3,4,4,4,4,4,2,4.863510047512133,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,1,1,0,4,22,2,1,2,2,2,1,1,19.366749673909563,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,5,5,5,5,5,3,3,5,3,0.6209829926435783,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,1,0,0,4,27,4,5,3,1,1,5,3,23.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,2,44,2,5,2,2,2,2,5,9.571559532716558,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,5,26,3,3,3,2,4,4,2,1.8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,0,0,0,4,28,5,5,5,3,3,4,5,12.3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,1,0,0,3,5,5,5,3,5,1,1,5,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,2,25,5,5,5,2,1,5,5,6.758864199785418,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,4,13,5,5,4,4,4,5,5,0.8199191316708732,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
1,0,0,0,2,12,5,4,5,1,1,5,5,3.774361065095608,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,5,51,2,5,2,2,2,4,5,4.579762231627611,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,4,47,3,3,3,5,3,3,3,6.469052399950164,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,1,0,0,2,23,4,4,4,2,4,4,3,1.1314476341106972,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,1,0,4,25,2,4,2,4,2,4,2,3.5306527823419454,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
1,0,0,0,5,25,3,5,3,3,3,4,3,5.1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,3,4,5,5,3,3,4,5,5,0.37165067114327244,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
1,0,0,0,3,33,3,4,3,2,4,4,3,1.8929676230440433,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,1,1,0,1,46,3,5,3,3,2,4,2,1.170550880713292,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1,0,0,0,6,33,5,5,3,1,1,5,5,19.533046588496635,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1,0,0,0,3,21,2,4,2,3,4,5,2,0.9475130799959384,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,5,36,3,4,4,3,3,5,5,5.447427718047305,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,1,0,4,11,3,3,3,4,4,5,3,7.4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,5,18,4,3,3,3,4,4,4,1.1380023159879316,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,1,0,5,25,3,5,3,4,2,2,3,4.12781193909374,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,1,60,3,5,3,5,3,3,3,8.696364477315864,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0,1,0,6,60,3,5,4,3,4,5,4,8.511006214503855,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,1,0,3,60,1,5,3,3,3,3,3,13.1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,6,60,2,4,2,2,1,4,5,18.014011547135564,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1,0,1,0,4,38,2,5,2,2,2,4,4,5.7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,4,23,4,4,3,2,3,4,2,1.3322094755836755,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,4,38,5,4,3,1,1,3,3,5.643977111392685,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,3,31,3,4,3,3,4,5,4,2.110886399750162,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,0,5,18,3,5,4,5,5,3,1,1.0101802965227336,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2
0,0,0,0,3,30,3,3,3,3,4,4,3,2.2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
1,0,1,0,3,27,3,3,3,3,4,5,3,1.6157977858111887,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
1,0,0,0,2,7,5,3,5,3,3,5,5,2.5,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,4,8,5,4,5,4,4,4,4,5.672800054295552,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,3,10,3,3,3,3,4,5,3,0.6921035485246776,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,1,0,2,5,5,5,5,5,5,5,5,0.7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2
0,1,0,0,4,42,3,4,3,5,5,5,4,2.38324727070773,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,3,40,3,3,4,4,4,5,3,2.8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,1,0,2,20,4,3,2,2,4,4,2,1.3734832918467226,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2
0,0,0,0,4,27,3,4,3,3,5,4,3,1.9,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,5,10,5,5,5,2,3,4,4,5.388497075960665,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,3,18,1,5,2,2,3,1,1,15.2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,2,21,4,3,4,2,2,2,2,2.1005069784249177,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
1,0,0,0,2,48,2,5,2,2,2,4,2,7.2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0,0,0,2,20,5,4,4,2,1,2,5,15.2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,3,36,3,3,4,3,1,1,5,10.4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0,0,0,5,15,5,3,2,4,5,5,2,0.8586977709584924,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,4,9,3,3,3,3,3,3,1,1.7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,5,34,3,3,3,3,5,4,3,2.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
0,0,0,0,4,33,5,3,3,2,2,2,4,8.48708004457366,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,5,30,5,5,5,3,3,5,4,22.5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,3,28,5,5,2,2,2,2,2,3.1819809764071976,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,0,1,3,21,5,3,3,4,5,5,2,1.1629217773079967,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2
0,0,0,0,3,17,1,1,4,3,5,4,5,2.2765769556443995,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,3,22,5,4,5,2,2,5,5,12.036072572782947,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,0,0,0,2,29,2,4,4,2,2,2,5,2.24514956479063,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,3,18,4,5,3,4,3,3,3,1.8697626752447278,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,1,0,4,28,4,4,4,4,4,4,1,3.843730860216829,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,4,6,5,3,3,3,3,5,3,0.35,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,5,36,4,3,5,3,3,3,5,15.379515700983537,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,2,53,3,5,3,3,3,3,4,5.033512709999677,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,2,50,3,5,1,5,1,1,1,4.788085261502133,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,0,0,2,27,2,1,2,4,2,2,2,3.3,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,1,0,0,4,32,2,5,2,2,2,2,5,6.8,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,5,17,2,2,3,3,4,4,3,24.267711772753366,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,0,0,4,31,3,4,3,3,3,3,2,4.6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,2,19,3,1,4,3,1,3,5,20.6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1,0,0,0,9,37,2,2,3,2,4,1,1,14.335054872040782,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,0,3,21,5,5,4,1,1,1,1,3.3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,5,18,2,5,3,1,3,4,1,1.7974002733464471,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
0,0,0,0,3,19,3,3,3,4,4,4,3,1.0819801318860827,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,0,1,4,25,1,1,1,4,5,5,3,1.3803880080916868,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,1,0,0,5,3,4,3,4,3,4,4,3,1.1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
1,0,0,0,6,6,5,4,2,2,4,4,2,0.3521374472742201,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2
1,0,0,0,3,24,4,4,2,2,2,2,2,4.3,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,0,0,0,2,16,4,4,3,2,2,4,3,1.515450517372273,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0,0,0,0,3,30,4,4,3,4,3,3,4,4.508160876521295,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,4,21,4,5,3,3,3,4,3,3.6041392785554747,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,4,22,2,4,3,2,2,2,4,2.572106554897473,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,0,0,6,20,2,4,3,1,4,3,1,2.1525701769749483,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,0,0,0,4,42,3,4,3,4,4,5,3,2.487230227087545,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,4,16,5,5,5,3,1,4,5,1.7656279603623506,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,5,30,5,5,5,3,4,5,5,25.2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,0,0,4,15,4,5,3,3,2,4,4,7.839005440256383,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
1,0,0,0,2,20,3,4,4,3,4,4,5,0.5860622195803245,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,3,21,5,3,4,3,3,3,3,6.876116838678736,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,3,16,1,1,1,1,3,3,1,1.8523953713665902,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,5,60,4,3,5,5,4,4,5,5.590464796951571,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,5,32,1,5,3,1,4,3,2,3.6329642730716394,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
0,0,0,0,4,19,4,4,4,4,4,4,4,5.352456209138599,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,1,0,3,50,2,5,2,5,3,3,3,5.4196401853765215,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,4,20,5,2,4,1,3,5,2,5.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,0,1,0,4,22,3,5,4,4,3,4,5,5.30434003977699,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1,0,0,0,3,22,4,5,2,2,4,5,2,1.4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
1,0,0,0,5,19,4,2,2,2,2,5,5,13.6,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1,0,0,0,2,14,3,4,5,4,4,5,5,2.6818580922915,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2
1,0,0,0,3,35,2,5,2,5,2,2,4,3.406827408468467,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,0,4,20,3,3,3,4,4,3,2,18.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
0,1,1,0,4,6,1,5,3,1,1,5,5,0.15907675423169193,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,0,3,26,5,4,4,3,3,5,4,17.43211154389426,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,4,15,4,5,3,2,3,2,3,1.1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2
0,0,0,0,3,47,4,3,3,4,3,5,3,2.9629492923747383,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2
0,0,0,0,4,23,4,3,4,3,3,3,5,7.3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,3,10,2,2,2,3,4,4,2,0.75,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2
1,0,1,0,3,19,4,3,3,3,3,4,3,1.4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2
0,1,0,0,3,20,5,5,4,4,4,3,5,14.4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,4,17,3,4,4,2,2,2,4,1.8736780490163574,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,2,51,4,4,4,4,3,3,4,7.1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,3,28,5,5,4,2,3,3,3,14.743829560356758,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,0,1,1,4,33,3,4,3,3,3,5,3,2.2110109484547515,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
0,0,1,1,3,44,4,3,3,4,5,5,3,2.6960127996415726,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
0,0,0,0,3,6,5,2,5,4,3,5,4,0.9425881491422317,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,2,50,3,3,3,3,3,3,3,7.0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0,1,1,0,5,22,3,2,5,2,1,4,5,8.339450733117879,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2
1,0,0,0,4,27,4,3,4,3,3,3,3,11.3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0,0,0,2,10,5,2,5,2,1,4,2,2.8,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0,0,0,0,4,37,4,1,1,1,2,3,3,5.230104213602552,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
0,0,0,0,2,14,2,5,3,1,2,2,4,0.9340620692382584,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,0,1,0,2,72,2,4,2,2,2,2,3,8.289533639764848,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,3,28,2,5,2,2,2,4,4,4.6,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,1,3,40,3,5,3,2,2,4,2,5.5,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,4,60,2,3,3,3,2,3,4,21.2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,3,49,4,5,4,4,4,4,5,9.698211168152948,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1,0,0,0,5,23,4,3,4,2,3,3,4,16.103053390089304,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,4,10,5,4,4,2,2,4,5,3.0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,3,40,3,3,3,3,5,5,3,5.706309194186086,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2
