Gender,Bike,Skate,Hsize,Time,Convenience,Cost,Safety,Environment,Health,Weather,Parking,Distance,Age_20 και κάτω,Age_21 - 30,Age_31 -40,Age_41 - 50,Age_51 και ανω,Income_0 - 500,Income_1000 - 1500,Income_1500 και ανω,Income_500 - 1000,Depart_time_06.00 - 09.00,Depart_time_09.00 - 12.00,Depart_time_12.00 - 15.00,Depart_time_Other,Mode
0,1,1,4,22,3,3,3,3,4,5,3,1.5,1,0,0,0,0,1,0,0,0,0,1,0,0,2
0,1,0,5,34,4,3,3,1,1,3,3,6.9,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,0,1,4,33,3,4,3,3,3,4,4,2.4,0,1,0,0,0,0,0,0,1,1,0,0,0,2
0,0,0,2,20,5,4,4,2,1,2,5,15.2,0,0,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,5,10,5,5,5,2,3,4,4,7.5,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,4,9,4,4,3,2,4,4,4,0.8,0,1,0,0,0,0,0,0,1,0,0,0,1,2
1,0,0,2,20,3,4,4,3,4,4,5,0.75,0,0,1,0,0,0,0,0,1,0,1,0,0,2
1,0,0,5,11,5,5,5,3,3,5,5,0.9,0,1,0,0,0,1,0,0,0,0,0,0,1,2
0,1,0,4,23,4,3,4,2,4,4,3,1.6,1,0,0,0,0,1,0,0,0,1,0,0,0,2
0,0,0,4,51,4,4,4,3,4,4,5,6.5,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,1,0,4,23,4,4,3,2,3,4,2,1.6,0,1,0,0,0,1,0,0,0,1,0,0,0,2
1,0,0,4,10,5,4,5,4,4,4,4,2.5,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,5,21,5,1,3,3,1,5,1,10.5,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,0,0,1,60,3,5,3,5,3,3,3,9.7,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1,0,0,4,17,3,4,4,2,2,2,4,2.3,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,4,9,3,3,3,3,3,3,1,1.7,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,9,37,2,2,3,2,4,1,1,20.6,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,4,14,4,4,4,5,3,3,4,8.3,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0,0,4,42,3,4,3,5,5,5,4,2.7,0,1,0,0,0,0,0,0,1,0,1,0,0,2
1,0,0,5,15,5,3,2,4,5,5,2,1.1,1,0,0,0,0,1,0,0,0,0,1,0,0,2
1,1,0,3,50,2,5,2,5,3,3,3,5.8,0,0,1,0,0,0,0,0,1,0,0,1,0,1
0,0,0,4,18,5,3,4,3,3,3,5,9.1,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,5,51,2,5,2,2,2,4,5,5.5,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,2,53,3,5,3,3,3,3,4,5.6,0,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,0,4,30,4,4,3,3,2,4,4,4.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,1,0,3,29,4,5,5,4,5,4,5,7.6,0,0,0,1,0,0,1,0,0,0,1,0,0,0
0,0,0,2,17,3,2,3,3,2,3,5,10.2,0,0,0,1,0,0,0,0,1,1,0,0,0,0
1,0,0,4,38,3,4,3,2,2,3,3,6.1,0,1,0,0,0,1,0,0,0,0,0,1,0,1
1,0,0,4,45,3,4,4,4,4,4,4,3.2,0,1,0,0,0,0,0,0,1,1,0,0,0,2
1,0,0,4,38,4,5,4,2,2,2,2,6.3,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0,0,4,35,1,1,2,3,2,1,1,9.1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
1,0,0,5,17,2,2,3,3,4,4,3,1.3,0,1,0,0,0,1,0,0,0,0,1,0,0,2
1,1,0,3,43,1,5,3,2,2,4,2,6.7,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,5,22,5,3,5,3,3,3,3,19.2,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,3,26,5,3,4,3,1,5,5,7.9,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,4,12,4,2,4,5,5,4,4,1.6,1,0,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,4,32,2,5,2,2,2,2,5,6.8,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,4,11,5,3,2,2,4,4,3,0.9,0,1,0,0,0,0,0,0,1,0,0,0,1,2
0,0,0,7,24,4,1,4,5,5,2,1,1.8,0,1,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,4,28,5,5,5,3,3,4,5,12.3,0,0,0,1,0,0,1,0,0,1,0,0,0,0
1,0,0,5,11,5,3,5,2,5,5,1,0.75,0,1,0,0,0,0,0,0,1,0,0,1,0,2
0,0,0,4,29,4,5,5,4,3,4,5,5.9,0,0,1,0,0,0,0,0,1,0,0,1,0,1
1,0,0,4,33,5,4,5,5,5,2,1,5.0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,1,4,42,3,5,4,4,3,3,3,6.7,1,0,0,0,0,0,0,0,1,1,0,0,0,1
0,0,0,2,23,4,4,4,2,4,4,3,1.6,0,1,0,0,0,1,0,0,0,0,1,0,0,2
1,1,0,2,50,1,5,1,1,1,1,5,6.7,0,0,1,0,0,0,0,0,1,1,0,0,0,1
1,1,0,1,30,1,2,1,2,2,4,3,3.6,0,1,0,0,0,0,1,0,0,1,0,0,0,1
0,0,0,4,22,2,4,3,2,2,2,4,3.5,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,0,0,4,18,3,3,3,4,5,5,3,1.3,1,0,0,0,0,1,0,0,0,0,0,1,0,2
0,0,1,3,30,4,3,3,4,4,4,3,2.2,1,0,0,0,0,1,0,0,0,0,1,0,0,2
1,0,0,4,25,1,5,1,1,1,1,1,14.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
0,0,0,4,13,5,1,5,5,3,5,5,4.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
1,0,0,5,28,2,1,3,2,5,4,1,2.1,0,1,0,0,0,0,0,0,1,0,0,0,1,2
0,1,0,4,26,5,2,3,2,1,4,5,24.4,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1,1,0,5,20,4,4,3,1,2,3,3,2.8,0,1,0,0,0,0,0,0,1,1,0,0,0,1
0,1,0,6,60,3,5,4,3,4,5,4,15.8,0,1,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,2,50,3,3,3,3,3,3,3,7.0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
0,0,0,2,19,3,1,4,3,1,3,5,20.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0
1,0,0,5,18,2,5,3,1,3,4,1,3.0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,1,0,3,22,4,3,3,3,3,3,3,4.4,0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,3,17,1,1,4,3,5,4,5,3.2,0,1,0,0,0,0,1,0,0,0,0,1,0,1
1,0,0,5,18,3,5,4,5,5,3,1,1.4,0,0,0,1,0,0,1,0,0,0,1,0,0,2
0,0,0,2,20,4,2,4,4,3,5,2,5.8,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1,0,0,5,7,4,5,4,4,5,5,5,0.7,0,0,0,0,1,0,0,0,1,1,0,0,0,2
1,0,0,6,28,5,5,5,3,3,5,3,2.2,0,1,0,0,0,0,1,0,0,0,0,0,1,1
0,0,0,5,37,4,3,4,4,3,4,3,14.8,0,0,0,1,0,0,0,1,0,1,0,0,0,0
0,0,0,3,9,5,3,5,3,3,3,5,3.2,0,0,1,0,0,0,1,0,0,1,0,0,0,0
1,0,0,3,18,1,5,2,2,3,1,1,15.2,0,0,1,0,0,0,0,0,1,0,1,0,0,0
0,0,0,3,10,2,2,2,3,4,4,2,0.75,1,0,0,0,0,1,0,0,0,0,0,1,0,2
0,1,0,5,22,3,2,5,2,1,4,5,1.6,0,0,0,0,1,0,0,1,0,1,0,0,0,2
